Type,Run,Epoch1,Epoch2,Stage1,Stage2,Similarity,Matrix_Type,n
Between_Epochs,0,0,3,after_training,after_training,0.43403500,binary,3
Between_Epochs,0,15,18,after_training,after_training,0.43029067,binary,3
Between_Epochs,0,3,6,after_training,after_training,0.43439026,binary,3
Between_Epochs,0,6,9,after_training,after_training,0.43553725,binary,3
Between_Epochs,0,9,12,after_training,after_training,0.43631606,binary,3
Between_Epochs,0,12,15,after_training,after_training,0.43474656,binary,3
Between_Epochs,0,18,21,after_training,after_training,0.43657241,binary,3
Between_Epochs,0,21,24,after_training,after_training,0.43655925,binary,3
Between_Epochs,0,24,27,after_training,after_training,0.44011038,binary,3
Between_Epochs,0,27,30,after_training,after_training,0.43960227,binary,3
Between_Epochs,0,45,48,after_training,after_training,0.43928977,binary,3
Between_Epochs,0,33,36,after_training,after_training,0.43528411,binary,3
Between_Epochs,0,30,33,after_training,after_training,0.43703078,binary,3
Between_Epochs,0,36,39,after_training,after_training,0.43855675,binary,3
Between_Epochs,0,39,42,after_training,after_training,0.43615362,binary,3
Between_Epochs,0,42,45,after_training,after_training,0.43474073,binary,3
Between_Epochs,0,48,51,after_training,after_training,0.43354053,binary,3
Between_Epochs,0,51,54,after_training,after_training,0.43216938,binary,3
Between_Epochs,0,54,57,after_training,after_training,0.43416680,binary,3
Between_Epochs,0,60,63,after_training,after_training,0.43624120,binary,3
Between_Epochs,0,57,60,after_training,after_training,0.43630834,binary,3
Between_Epochs,0,69,72,after_training,after_training,0.43449626,binary,3
Between_Epochs,0,66,69,after_training,after_training,0.43645050,binary,3
Between_Epochs,0,63,66,after_training,after_training,0.43708312,binary,3
Between_Epochs,0,72,75,after_training,after_training,0.43770440,binary,3
Between_Epochs,0,75,78,after_training,after_training,0.43307699,binary,3
Between_Epochs,0,84,87,after_training,after_training,0.43628460,binary,3
Between_Epochs,0,78,81,after_training,after_training,0.43541874,binary,3
Between_Epochs,0,87,90,after_training,after_training,0.43696467,binary,3
Between_Epochs,0,81,84,after_training,after_training,0.43473194,binary,3
Between_Epochs,0,90,93,after_training,after_training,0.43551153,binary,3
Between_Epochs,0,93,96,after_training,after_training,0.43456473,binary,3
Between_Epochs,0,96,99,after_training,after_training,0.43600884,binary,3
Between_Epochs,0,99,102,after_training,after_training,0.44032339,binary,3
Between_Epochs,0,102,105,after_training,after_training,0.43922420,binary,3
Between_Epochs,0,105,108,after_training,after_training,0.43544857,binary,3
Between_Epochs,0,111,114,after_training,after_training,0.43558765,binary,3
Between_Epochs,0,114,117,after_training,after_training,0.43670839,binary,3
Between_Epochs,0,108,111,after_training,after_training,0.43314790,binary,3
Between_Epochs,0,117,120,after_training,after_training,0.43400761,binary,3
Between_Epochs,0,120,123,after_training,after_training,0.43649147,binary,3
Between_Epochs,0,123,126,after_training,after_training,0.43780085,binary,3
Between_Epochs,0,126,129,after_training,after_training,0.43989001,binary,3
Between_Epochs,0,132,135,after_training,after_training,0.43376311,binary,3
Between_Epochs,0,138,141,after_training,after_training,0.43706283,binary,3
Between_Epochs,0,141,144,after_training,after_training,0.43768891,binary,3
