Type,Run,Epoch1,Epoch2,Stage1,Stage2,Similarity,Matrix_Type,n
Between_Epochs,0,0,5,after_training,after_training,0.55057256,binary,5
Between_Epochs,0,5,10,after_training,after_training,0.55107593,binary,5
Between_Epochs,0,10,15,after_training,after_training,0.55484961,binary,5
Between_Epochs,0,15,20,after_training,after_training,0.55054860,binary,5
Between_Epochs,0,20,25,after_training,after_training,0.55172360,binary,5
Between_Epochs,0,30,35,after_training,after_training,0.55706948,binary,5
Between_Epochs,0,25,30,after_training,after_training,0.55480142,binary,5
Between_Epochs,0,35,40,after_training,after_training,0.55306865,binary,5
Between_Epochs,0,40,45,after_training,after_training,0.55578987,binary,5
Between_Epochs,0,45,50,after_training,after_training,0.55586224,binary,5
Between_Epochs,0,50,55,after_training,after_training,0.55728698,binary,5
Between_Epochs,0,55,60,after_training,after_training,0.55501829,binary,5
Between_Epochs,0,60,65,after_training,after_training,0.55497009,binary,5
Between_Epochs,0,65,70,after_training,after_training,0.55463279,binary,5
Between_Epochs,0,75,80,after_training,after_training,0.55492189,binary,5
Between_Epochs,0,70,75,after_training,after_training,0.55839960,binary,5
Between_Epochs,0,80,85,after_training,after_training,0.55574162,binary,5
Between_Epochs,0,85,90,after_training,after_training,0.55677957,binary,5
Between_Epochs,0,90,95,after_training,after_training,0.55480142,binary,5
Between_Epochs,0,95,100,after_training,after_training,0.55709364,binary,5
Between_Epochs,0,100,105,after_training,after_training,0.55492189,binary,5
Between_Epochs,0,105,110,after_training,after_training,0.55470505,binary,5
Between_Epochs,0,110,115,after_training,after_training,0.55837540,binary,5
Between_Epochs,0,115,120,after_training,after_training,0.55468096,binary,5
Between_Epochs,0,120,125,after_training,after_training,0.55340527,binary,5
Between_Epochs,0,125,130,after_training,after_training,0.55501829,binary,5
Between_Epochs,0,130,135,after_training,after_training,0.55574162,binary,5
Between_Epochs,0,135,140,after_training,after_training,0.55554867,binary,5
Between_Epochs,0,140,145,after_training,after_training,0.55615181,binary,5
Between_Epochs,0,150,155,after_training,after_training,0.55362175,binary,5
Between_Epochs,0,145,150,after_training,after_training,0.55743201,binary,5
Between_Epochs,0,155,160,after_training,after_training,0.55470505,binary,5
Between_Epochs,0,160,165,after_training,after_training,0.55661051,binary,5
Between_Epochs,0,165,170,after_training,after_training,0.55523522,binary,5
Between_Epochs,0,170,175,after_training,after_training,0.55431971,binary,5
Between_Epochs,0,175,180,after_training,after_training,0.55607940,binary,5
Between_Epochs,0,180,185,after_training,after_training,0.55537987,binary,5
Between_Epochs,0,185,190,after_training,after_training,0.55687619,binary,5
Between_Epochs,0,190,195,after_training,after_training,0.55477733,binary,5
Between_Epochs,1,10,15,after_training,after_training,0.55211193,binary,5
Between_Epochs,1,0,5,after_training,after_training,0.55406455,binary,5
Between_Epochs,1,5,10,after_training,after_training,0.55095714,binary,5
Between_Epochs,1,20,25,after_training,after_training,0.55165462,binary,5
Between_Epochs,1,15,20,after_training,after_training,0.55648197,binary,5
Between_Epochs,1,25,30,after_training,after_training,0.55138999,binary,5
Between_Epochs,1,30,35,after_training,after_training,0.55674835,binary,5
Between_Epochs,1,35,40,after_training,after_training,0.55483731,binary,5
Between_Epochs,1,45,50,after_training,after_training,0.55544156,binary,5
Between_Epochs,1,40,45,after_training,after_training,0.55573177,binary,5
Between_Epochs,1,50,55,after_training,after_training,0.55268997,binary,5
Between_Epochs,1,60,65,after_training,after_training,0.55433010,binary,5
Between_Epochs,1,55,60,after_training,after_training,0.55527232,binary,5
Between_Epochs,1,65,70,after_training,after_training,0.55495812,binary,5
Between_Epochs,1,75,80,after_training,after_training,0.55428181,binary,5
Between_Epochs,1,70,75,after_training,after_training,0.55476483,binary,5
Between_Epochs,1,80,85,after_training,after_training,0.55691791,binary,5
Between_Epochs,1,85,90,after_training,after_training,0.55725714,binary,5
Between_Epochs,1,90,95,after_training,after_training,0.55636092,binary,5
Between_Epochs,1,95,100,after_training,after_training,0.55478899,binary,5
Between_Epochs,1,100,105,after_training,after_training,0.55669991,binary,5
Between_Epochs,1,105,110,after_training,after_training,0.55631251,binary,5
Between_Epochs,1,110,115,after_training,after_training,0.55488563,binary,5
Between_Epochs,1,115,120,after_training,after_training,0.55638513,binary,5
Between_Epochs,1,120,125,after_training,after_training,0.55708750,binary,5
Between_Epochs,1,125,130,after_training,after_training,0.55515146,binary,5
Between_Epochs,1,135,140,after_training,after_training,0.55672413,binary,5
Between_Epochs,1,130,135,after_training,after_training,0.55433010,binary,5
Between_Epochs,1,145,150,after_training,after_training,0.55701481,binary,5
Between_Epochs,1,150,155,after_training,after_training,0.55587691,binary,5
Between_Epochs,1,155,160,after_training,after_training,0.55384735,binary,5
Between_Epochs,1,140,145,after_training,after_training,0.55699059,binary,5
Between_Epochs,1,160,165,after_training,after_training,0.55435424,binary,5
Between_Epochs,1,165,170,after_training,after_training,0.55532067,binary,5
Between_Epochs,1,170,175,after_training,after_training,0.55558665,binary,5
Between_Epochs,1,175,180,after_training,after_training,0.55590110,binary,5
